ID,SHA1 Hash,Path,Filename
SCPS-45196,C1CE72548A8BBE17F5A5552D74BAC66A9F3D80F9,SCPS-45196\BOSS\RBO8\RBO8.BIN,RBO8.BIN
SCPS-45196,7B1DC6411A8BEE66966BF30AC984B9F2536B5907,SCPS-45196\BOSS\RBO8\SD_ZRBO8.VB,SD_ZRBO8.VB
SCPS-45196,271C6E81CEDE3286162B39D34A551AA1EC3E7480,SCPS-45196\BOSS\RBO8\SD_ZRBO8.VH,SD_ZRBO8.VH
SCPS-45196,13B86C8C80BFE36C94FA56926009AE2DCC2B6AA0,SCPS-45196\SD\CD1.DA,CD1.DA
SCPS-45196,43776EE1B830DD601E3FA06D7311152DB15C7E1D,SCPS-45196\SERVANT\FT_000.BIN,FT_000.BIN
SCPS-45196,43776EE1B830DD601E3FA06D7311152DB15C7E1D,SCPS-45196\SERVANT\FT_001.BIN,FT_001.BIN
SCPS-45196,53EB4CE6254A9E24A9067EB0A5311BC747BA0BC0,SCPS-45196\SERVANT\FT_002.BIN,FT_002.BIN
SCPS-45196,4DBFA3E913B17B8E76B5DC95357138FBA1503AD2,SCPS-45196\SERVANT\FT_003.BIN,FT_003.BIN
SCPS-45196,081F59DBC1B475EC506F5B37743BE01CD545A369,SCPS-45196\SERVANT\FT_004.BIN,FT_004.BIN
SCPS-45196,53EB4CE6254A9E24A9067EB0A5311BC747BA0BC0,SCPS-45196\SERVANT\FT_005.BIN,FT_005.BIN
SCPS-45196,17C1BCCF4B41D630E185AF58977E030F43D6EACE,SCPS-45196\SERVANT\FT_006.BIN,FT_006.BIN
SCPS-45196,60D2BFFFD75194CB0F6927EADFD1C9815EFDA365,SCPS-45196\SERVANT\SD_BAT.VB,SD_BAT.VB
SCPS-45196,870674E6508BCEF8BBD2355AA4194B39E56E0605,SCPS-45196\SERVANT\SD_BAT.VH,SD_BAT.VH
SCPS-45196,1D3B97231F88B572513D4361074AE92157B57FF9,SCPS-45196\SERVANT\SD_DEVI2.VB,SD_DEVI2.VB
SCPS-45196,5182322911A6815D849E599E3CC2D6CCB05235AE,SCPS-45196\SERVANT\SD_DEVI2.VH,SD_DEVI2.VH
